Source,Target,Weight
210|363,23,58.6667
210|363,218,15
210|363,208,44.6667
210|363,209,159.333
210|363,222,28.3333
210|363,211,50
210|363,203,40.3333
210|363,207,25.3333
210|363,21,221
210|363,342,347.333
210|363,368,66.3333
210|363,234,16
210|363,341,22.5
210|363,19,17
210|363,214,13
210|363,216,19
210|363,221,22
210|363,215,12
210|363,83|210,18.5
210|363,84|210,13.6667
210|363,234|210,12
210|363,215|210,10
210|363,21|210,330
210|363,220|210|363,87
178|84,84,14.2727
84,340,78.4
84,22,106.308
84,217,85.1667
84,212,67.1333
84,178|84,31.2727
84,160|84,22
84,83,106
84,363,332.097
84,369,51.2
84,365,235.083
84,164,28.6667
84,153,19.4167
84,20,236.407
84,17,11
84,205,180.893
84,339,129.889
84,202,39.9355
84,16,43.2333
84,204,136.29
84,366,189.818
84,220,79.4375
84,23,65.8182
84,218,73.9355
84,208,99.6071
84,209,160.867
84,222,63.3333
84,211,61.7333
84,203,83.1
84,206,17.6
84,207,109.862
84,21,458.419
84,342,221.923
84,210,287.385
84,234|84,308
84,278,117
84,26,40.2174
84,191,25.3333
84,197,30.2333
84,223,97
84,89,14.8966
84,364,24.2
84,358,65
84,25,22.5
84,368,61.3889
84,190,17.1538
84,234,578
84,224,35.6
84,226,15.5652
84,143,13.7895
84,266,22.963
84,287,11.3333
84,225,24.1739
84,140,11
84,341,42.9643
84,196,16.5357
84,253,10.5
84,233|84,48.7895
84,217|84,90.3158
84,219,53.6129
84,199,25.0714
84,19,22.2258
84,214,21.6129
84,216,39.1724
84,221,49.52
84,215,32.0345
84,23|84,95.85
84,299,18
84,163,13.4545
84,155,14.4211
84,181,19.7037
84,158,27.0556
84,162,14.087
84,233,46
84,200,18.3667
84,142,11
84,367,18.2308
84,159,15.2759
84,375,11.6923
84,156,14.1
84,180,21.9048
84,157,14.381
84,160,14.5
84,213,27.0645
84,201,16.3846
84,45,11.75
84,192,16.1429
84,178,16
84,238,12.3846
84,152,15.8
84,229,14.7308
