57 => 67 23130
56 57 58 => 68 4022
56 57 58 => 59 1695
58 => 68 26399
58 => 48 22085
58 => 59 24094
58 => 57 22247
47 => 37 21996
47 => 48 22551
47 => 46 21957
47 => 57 22991
17 27 37 47 => 48 424
17 27 37 47 => 57 992
35 => 36 23520
35 => 34 23392
35 => 45 23443
35 => 25 23669
33 => 34 24951
33 => 23 24998
33 => 32 25051
33 => 43 25327
34 => 24 24195
34 => 44 24374
34 => 33 24144
34 => 35 24026
24 => 23 24494
24 => 25 24134
24 => 34 24400
24 => 14 24424
23 => 33 25564
23 => 22 25127
23 => 13 25130
23 => 24 25104
22 => 32 26196
22 => 23 26147
22 => 12 25756
22 => 21 25937
32 => 22 26085
32 => 33 25700
32 => 42 25715
32 => 31 25821
13 => 14 25374
13 => 12 25356
13 => 23 25404
13 => 3 24974
14 => 4 24102
14 => 15 24883
14 => 24 24631
14 => 13 24695
4 => 3 24481
4 => 5 24329
4 => 14 24546
4 => 94 24419
3 => 93 25125
3 => 2 25245
3 => 13 25274
3 => 4 25323
93 => 83 25504
93 => 3 25491
93 => 92 25342
93 => 94 25319
83 => 93 25538
83 => 73 25425
83 => 82 25464
83 => 84 25380
92 => 2 26656
92 => 82 26507
92 => 91 26067
92 => 93 26299
2 => 92 26551
2 => 12 25994
2 => 1 26240
2 => 3 26041
82 => 83 26170
82 => 92 26605
82 => 72 26468
82 => 81 26333
12 => 2 26012
12 => 11 25903
12 => 13 26054
12 => 22 25953
50 => 59 22299
50 => 40 22379
50 => 51 22118
50 => 60 22154
75 => 85 24203
75 => 74 24212
75 => 76 24370
75 => 65 24177
85 => 86 24239
85 => 75 24128
85 => 95 24046
85 => 84 24013
86 => 76 23281
86 => 96 23394
86 => 87 23535
86 => 85 23559
96 => 86 23435
96 => 95 23070
96 => 6 23552
96 => 97 23639
87 => 86 22687
87 => 97 22883
87 => 88 22726
87 => 77 22706
97 => 98 22298
97 => 96 23124
97 => 87 22697
97 => 7 22825
98 => 99 23243
98 => 97 21762
98 => 88 21872
98 => 8 25755
96 97 98 => 8 3976
96 97 98 => 99 1677
99 => 9 22620
99 => 89 22760
99 => 98 22402
99 => 90 22705
9 => 8 22723
9 => 19 22603
9 => 99 22542
9 => 0 22630
8 => 9 23429
8 => 18 25847
8 => 98 21985
8 => 7 21465
6 7 8 => 9 1722
6 7 8 => 18 3995
19 => 10 22748
19 => 29 22362
19 => 18 22687
19 => 9 22383
10 => 11 21705
10 => 20 21688
