Lat,Lon,Name,Borough
-73.96784306216374,40.69322942188155,Clinton Hill,Brooklyn
-74.00787311200247,40.576375378902284,Sea Gate,Brooklyn
-73.98346337431106,40.69084402109806,Downtown,Brooklyn
-73.98357724689187,40.687241380657376,Boerum Hill,Brooklyn
-73.9548986707772,40.65842001746986,Prospect Lefferts Gardens,Brooklyn
-73.91306831787404,40.6784025547954,Ocean Hill,Brooklyn
-73.86797598081343,40.678569957274824,City Line,Brooklyn
-73.89855633630324,40.615149550453125,Bergen Beach,Brooklyn
-73.95759523489846,40.62559589869847,Midwood,Brooklyn
-73.96261316716055,40.64700860318523,Prospect Park South,Brooklyn
-73.91607483951331,40.623845244784235,Georgetown,Brooklyn
-73.86998779106547,40.65713927658277,Spring Creek,Brooklyn
-73.93885815269203,40.70849241041552,East Williamsburg,Brooklyn
-73.95880857587589,40.714822906532056,North Side,Brooklyn
-73.95800095153338,40.710861472650684,South Side,Brooklyn
-73.97164435527614,40.698790872180545,Navy Yard,Brooklyn
-73.96836678035548,40.61305976667946,Ocean Parkway,Brooklyn
-74.0319791453799,40.6147681269423,Fort Hamilton,Brooklyn
-73.99427936255985,40.715618422314364,Chinatown,Manhattan
-73.93690027985242,40.85190252555309,Washington Heights,Manhattan
-73.92121042203905,40.86768396449919,Inwood,Manhattan
-73.94968791883373,40.82360428481197,Hamilton Heights,Manhattan
-73.95738539351888,40.81693442949784,Manhattanville,Manhattan
-73.94321112603912,40.81597606742418,Central Harlem,Manhattan
-73.94418223148531,40.79224946663037,East Harlem,Manhattan
-73.96050763135007,40.77563857330185,Upper East Side,Manhattan
-73.94711784471833,40.77592984988492,Yorkville,Manhattan
-73.95885968813766,40.76811265828737,Lenox Hill,Manhattan
-73.9494705736962,40.762403730702246,Roosevelt Island,Manhattan
-73.9770592363061,40.7876579985349,Upper West Side,Manhattan
-73.9853377700127,40.773528889421705,Lincoln Square,Manhattan
-73.99640768221386,40.758333686906404,Clinton,Manhattan
-73.98166882730311,40.75469110270627,Midtown,Manhattan
-73.99991402945909,40.72693288536132,Greenwich Village,Manhattan
-73.98222616506425,40.72784677727029,East Village,Manhattan
-73.98089031999298,40.71780674892769,Lower East Side,Manhattan
-74.01068328559094,40.72152196744325,Tribeca,Manhattan
-73.9973046720808,40.71932379395911,Little Italy,Manhattan
-74.00065666959766,40.72218384131798,Soho,Manhattan
-74.00617998126819,40.734433935724375,West Village,Manhattan
-73.96428617740662,40.7973070417029,Manhattan Valley,Manhattan
-73.96389627905339,40.80799973816586,Morningside Heights,Manhattan
-73.98137594833548,40.737209832715045,Gramercy,Manhattan
-74.01686930508625,40.71193198394569,Battery Park City,Manhattan
-74.01066544521277,40.70710710727052,Financial District,Manhattan
-73.91565374304241,40.768508593354966,Astoria,Queens
-73.90184166838291,40.746349088602265,Woodside,Queens
-73.88282109164372,40.751981380073715,Jackson Heights,Queens
-73.88165622288396,40.744048505122066,Elmhurst,Queens
-73.83813764600289,40.6542252773849,Howard Beach,Queens
-73.85682497345266,40.7423817501567,South Corona,Queens
-73.8444750078899,40.725263782165065,Forest Hills,Queens
-73.8298190582571,40.705179035414844,Kew Gardens,Queens
-73.83183321446894,40.69794731471767,Richmond Hill,Queens
-73.82936758711861,40.76116362081876,Downtown Flushing,Queens
-73.93920223915512,40.75021734610532,Long Island City,Queens
-73.86704147658779,40.764073238830946,East Elmhurst,Queens
-73.89621713626867,40.72542737409365,Maspeth,Queens
-73.90143517559596,40.70832315613862,Ridgewood,Queens
-73.87074167435614,40.702762429678415,Glendale,Queens
-73.85782686905377,40.72897409480739,Rego Park,Queens
-73.85811046554328,40.689886879157925,Woodhaven,Queens
-73.84320266173454,40.68070846826546,Ozone Park,Queens
-73.80986478649048,40.66854957767199,South Ozone Park,Queens
-73.84304528896132,40.78490274926025,College Point,Queens
-73.8142021661087,40.781290766026984,Whitestone,Queens
-73.77427363068676,40.76604063281068,Bayside,Queens
-73.79176243728068,40.761729549032665,Auburndale,Queens
-73.73889775580747,40.77082619282674,Little Neck,Queens
-73.74249820727337,40.766846097907674,Douglaston,Queens
-73.71548118999152,40.74944079974336,Glen Oaks,Queens
-73.7201281482691,40.72857318176679,Bellerose,Queens
-73.82087764933573,40.72257824422808,Kew Gardens Hills,Queens
-73.78271337003271,40.734394465331334,Fresh Meadows,Queens
-73.81174822458641,40.710935472522756,Briarwood,Queens
-73.79690165888296,40.704657360687214,Jamaica Center,Queens
-73.75494976234339,40.74561857141858,Oakland Gardens,Queens
-73.73871484578433,40.7188930921674,Queens Village,Queens
-73.75925009335602,40.71124344191908,Hollis,Queens
-73.79042613135549,40.69691125378992,South Jamaica,Queens
-73.75867603727725,40.69444538522363,St. Albans,Queens
-73.77258787620913,40.675211395917366,Rochdale,Queens
-73.76042092682295,40.666230490368626,Springfield Gardens,Queens
